Species,Bio01_past,Bio04_past,Bio07_past,Bio11_past,Bio15_past,Bio17_past,Bio01_present,Bio04_present,Bio07_present,Bio11_present,Bio15_present,Bio17_present
Pristimantis_allpapuyu,22.3,73.42925,2.15,21.4665,96.78575,43.1,2902.01155503754,432.115707923587,96.9976334642699,2897.00932715727,658.971427076693,1221.28738193504
Pristimantis_almendarizi,18.29375,59.488,1.825,17.5165,55.13375,203.35,2858.01295632101,585.008911865278,92.0001388446649,2848.01323477931,240.977439578807,3630.75871070905
Pristimantis_altamazonicus,25.902,59.797375,1.775,25.175,35.52875,325.95,2984.00027847431,473.00173850863,89.9997216176977,2977.0002785497,346.998401694861,3136.65245656752
Pristimantis_altamnis,16.7915,41.26775,1.4,16.2665,25.31275,359.075,2946.99290168456,599.011557005323,88.9994426547887,2937.99276243771,168.017266505876,7128.86705513024
Pristimantis_ameliae,24,58.595,1.85,23.35025,38.304,186.625,2990.99832927482,549.083311575913,99.0020900153523,2983.9973541279,573.999589286925,1045.03687678433
Pristimantis_amydrotus,21.222875,92.987625,2.5875,20.133375,83.187125,65.975,2907.99777124353,958.903287102089,105.999825657926,2893.74919856639,795.429255322376,627.172414710969
Pristimantis_andinognomus,21.27925,63.98525,1.85,20.53325,96.78575,49.275,2904.00459638838,432.115707923587,101.997214186383,2898.00403914558,658.971427076693,1221.28738193504
Pristimantis_anemerus,21.88725,83.9585,2.3,20.89175,103.619,37,2907.0041789563,677.96102666921,113.997632472506,2899.00390022721,847.917544164556,394.253508090676
Pristimantis_angustilineatus,25.0435,24.861,0.775,24.7165,18.61275,977.8,2955.99776962258,259.999580936241,65.0059899449701,2953.99735180543,185.011981817547,9263.11532138178
Pristimantis_aniptopalmatus,15.09175,77.5265,2.25,14.05825,54.85325,182.125,2882.02102512299,639.951266091783,104.000278480991,2873.02158201161,517.982875208779,2645.19267603196
Pristimantis_anolirex,24.198,43.80175,1.3,23.69975,38.2885,260.325,2905.02395619584,447.06909037476,96.0019497570161,2899.02298117972,423.013234168775,2628.89341259561
Pristimantis_anotis,26.60825,67.683,2.2,25.8335,50.24,93.65,2986.00153218913,778.990945123444,55.9997219798999,2975.00167147998,583.991079982224,433.137505455709
Pristimantis_apiculatus,23.66475,33.4145,1.125,23.45825,32.083,618.325,2918.00494107703,302.989277175419,81.998190588709,2915.00403572179,351.955440362125,3075.28000629192
Pristimantis_appendiculatus,23.625,33.4145,1.125,23.25825,32.083,453.475,2904.00542853825,302.989277175419,81.998190588709,2901.00445361007,351.955440362125,3075.28000629192
Pristimantis_aquilonaris,21.58325,73.971875,2.075,20.7125,100.5235,43.1375,2905.50438767234,502.513034016401,111.497493439837,2898.50396968639,820.915108780322,502.326131886662
Pristimantis_ardalonychus,21.8585,64.8075,1.875,21.01675,25.41925,285.875,2966.00654492852,439.996097294726,99.9972144035948,2959.00668423137,277.00320343222,2612.61751887015
Pristimantis_ardyae,18.05825,54.42025,1.75,17.35825,58.2115,195.875,2831.01964003703,620.954193860678,98.9973540924017,2823.020057636,175.030628452276,4120.53841237021
Pristimantis_ashaninka,16.97075,84.98825,2.475,15.825,57.50475,156.725,2925.00766045739,557.0027925723,105.999442609813,2917.00738185508,536.000842273204,2531.00145456073
Pristimantis_atrabracus,20.13525,64.426,2.025,19.29175,43.07075,208.55,2939.99972242858,748.963091739741,101.99916397878,2928.00041879605,309.997910073988,1998.23417277302
Pristimantis_atratus,18.57725,59.488,1.825,17.85,55.13375,203.35,2902.01155503754,585.008911865278,96.9976334642699,2897.00932715727,240.977439578807,3609.35636190286
Pristimantis_aurantiguttatus,25.43925,22.1535,0.65,25.2085,15.53375,1168.475,2955.99776962258,259.999580936241,61.004179271321,2953.99735180543,185.011981817547,9263.11532138178
Pristimantis_aureolineatus,25.17075,57.354,1.7,24.39175,17.11675,683.8,2981.0000000526,510.005706917912,81.0011139920095,2973.00000010521,191.01504288145,6225.01671936876
Pristimantis_aureoventris,23.83325,81.635,2.675,23.1,41.745,314.75,2951.00835852933,576.033847037559,96.0001388480312,2944.00780140816,410.987743561866,3518.12539178809
Pristimantis_auricarens,25.027,74.0315,2.75,24.15,68.47425,172.025,2960.99930247705,446.026746121846,100.00000031186,2955.99902384735,572.989127521173,2576.91200306688
Pristimantis_avicuporum,20.13525,64.426,2.025,19.29175,43.07075,208.55,2939.99972242858,748.963091739741,101.99916397878,2928.00041879605,309.997910073988,1998.23417277302
Pristimantis_avius,24.5125,97.6805,2.95,23.4915,32.99325,472.075,2963.0047361733,556.017556658756,90.0013926812634,2956.00403959267,391.010729216796,3456.05020774143
Pristimantis_bacchus,24.88325,30.40925,1.05,24.5915,38.42025,319.225,2943.99498260717,255.018250349009,86.0012540530578,2940.99484325352,319.028274953761,4262.58687383812
Pristimantis_baiotis,24.97075,32.5565,1.05,24.5665,29.203,513.175,2967.99359259315,277.999861306973,65.0071035661394,2964.99359259315,256.030783296205,9125.94868971234
Pristimantis_balionotus,22.3,73.42925,2.15,21.4665,96.78575,43.1,2902.01155503754,432.115707923587,96.9976334642699,2897.00932715727,658.971427076693,1221.28738193504
Pristimantis_bambu,20.296875,66.458625,1.9875,19.4915,75.95975,123.225,2880.01225567927,508.562309894432,94.4988861544674,2872.51128096829,449.97443332775,2426.02304632204
Pristimantis_baryecuus,18.4355,57.783875,1.775,17.68325,50.732,211.75,2889.0066198584,659.483985737249,96.4981893282182,2878.50696798044,220.987743118161,3620.05753630595
Pristimantis_batrachites,24.198,43.80175,1.3,23.69975,38.2885,260.325,2905.02395619584,447.06909037476,96.0019497570161,2899.02298117972,423.013234168775,2628.89341259561
