"","Species","CHELSA_bio2_1981.2010_V.2.1_median","CHELSA_bio3_1981.2010_V.2.1_median","CHELSA_bio4_1981.2010_V.2.1_median","CHELSA_bio7_1981.2010_V.2.1_median","CHELSA_bio11_1981.2010_V.2.1_median","CHELSA_bio15_1981.2010_V.2.1_median","CHELSA_bio17_1981.2010_V.2.1_median"
"716","Nectomys palmipes","7.9997910297937","73.9999301329798","66.4996516491562","10.0002089693862","24.9999303379103","46.4984671849955","183.515050325261"
"717","Nectomys rattus","7.99972142540253","71.997771810232","70.0022291782316","10.9993034593447","25","59.9993041414358","152.999724728015"
"718","Nectomys squamipes","9","61.0001391784014","181.997632848525","15","20.0001391630006","63.0015317690063","82.9959609331802"
"719","Nelsonia goldmani","12.0001393366977","62.9995821237861","188.008219326176","20.0002786636982","15.4998608843933","102.501253721849","26.5003473501072"
"720","Neofiber alleni","8.99902493899612","40.9984678440512","408.005157325382","19.9995821299467","16.9998606409994","51.9967960298079","183.995961711868"
"721","Neomicroxus bogotensis","7.99972142540253","79.9987463756028","45.0068254754547","9.99999998059579","17.0022284529458","42.0015323415176","267.003901306588"
"722","Neomicroxus latebricola","7.00000001939753","79.0006961700235","61.9955447018576","8.99986078779449","10.0025066636675","27.0004173966166","307.577986796245"
"723","Neotamias bulleri","14","59.9997214699989","274.011003860544","23.0001393390006","14.9988858095744","104.998467753783","24.9994430492083"
"724","Neotoma albigula","13.9997214613975","41.0019493462486","713.011976512942","32.0002787466031","8.99958210979558","68.999582220201","28.0043195926323"
"725","Neotoma angustapalata","10.4999304584997","55.4990949301965","322.014903313384","19.0002786723021","15.0004871708024","75.4989549653007","58.0016710601962"
"726","Neotoma chrysomelas","8.99999998630012","62.9997910645988","129.0000701886","13.9998607109994","21.000208928801","73.4962392732824","57.0215195698994"
"727","Neotoma lepida","12","32.0002090837083","914.001322786652","37.5001392730022","-1.00034810980264","37.4995822963992","33.001185431089"
"728","Neotoma leucodon","13","43.9997212899989","664.006276522581","29.0001393710006","9.999999844","61.9959614657807","41.0020883124092"
"729","Neotoma mexicana","13.0001393476028","48.0001391226993","541.003275758454","28.0005571569062","10.9990947017768","73.9973538477595","33.0024379124041"
"730","Neotoma micropus","12.0000696777996","40.0000697484023","746.504041745118","32.000000019402","7.99986062099944","54.9998609435016","54.5027153528086"
"731","Neotoma nelsoni","9.99930363080628","63.9960999764266","182.021170948451","15.9995821380135","12.0022281436273","72.0005558180325","74.0119813409037"
"732","Neotoma phenax","11.0006963642145","51.0002781346064","442.999029596838","21.001114221822","17.9995821149983","113.997494228174","6.00584813499443"
"733","Neotomodon alstoni","11.9999999418124","64.9998603052285","187.010029179778","19.0000000578125","12.000139443379","92.9965183139651","30.9999992559999"
"734","Neotomys ebriosus","12.4997215496951","67.0001391931249","184.498125309693","19.0002088583261","4.00027862091235","101.49812041258","16.5040393635285"
"735","Nephelomys albigularis","7.99972140999889","78.9995821937923","50.0004166824642","9.99972148139474","18.0000004763684","40.995961551114","271.978969723927"
"736","Nephelomys auriventer","7.4999303505","78.00048733371","59.9982597229425","9.4999303505","10.5016715883082","21.0003476717283","387.564877113847"
"737","Nephelomys caracolus","4.9988855416324","67.9899698746916","75.9993035644064","7.99874625063183","24.0002786145919","45.0043186984698","130.976317239689"
"738","Nephelomys devius","6.99902507779448","71.9988856356003","57.0001390006134","9.99874651579336","19.0016712556115","45.9954042465623","482.545954323406"
"739","Nephelomys keaysi","7.99972151678611","67.9998604200314","130.001394245154","11.9994430335722","12.0019492490371","55.9986077247816","213.990529873538"
"740","Nephelomys levipes","7.99986068899944","68.0004175656081","118.998748062814","11.9994430301753","14.0020887292492","57.9998604096059","175.018097488659"
"741","Nephelomys meridensis","6.9995822286196","78.0001392635952","52.9979110872607","8.99944300502435","18.0020893309552","32.0047361756965","273.97158177712"
"742","Nesoryzomys darwini","1","22.9981899247209","157.995683323593","5.99972152538861","21.0001392470006","77.9961014911688","68.0110002803672"
